Ordinal,Description
"549","4025 = ZONE 25 STATE"
"550","4026 = ZONE 26 STATE"
"551","4027 = ZONE 27 STATE"
"552","4028 = ZONE 28 STATE"
"553","4029 = ZONE 29 STATE"
"554","4030 = ZONE 30 STATE"
"555","4031 = ZONE 31 STATE"
"556","4032 = ZONE 32 STATE"
"557","4033 = ZONE 33 STATE"
"558","4034 = ZONE 34 STATE"
"559","4035 = ZONE 35 STATE"
"560","4036 = ZONE 36 STATE"
"561","4037 = ZONE 37 STATE"
"562","4038 = ZONE 38 STATE"
"563","4039 = ZONE 39 STATE"
"564","4040 = ZONE 40 STATE"
"565","4041 = ZONE 41 STATE"
"566","4042 = ZONE 42 STATE"
"567","4043 = ZONE 43 STATE"
"568","4044 = ZONE 44 STATE"
"569","4045 = ZONE 45 STATE"
"570","4046 = ZONE 46 STATE"
"571","4047 = ZONE 47 STATE"
"572","4048 = ZONE 48 STATE"
"573","4049 = ZONE 49 STATE"
"574","4050 = ZONE 50 STATE"
"575","4051 = ZONE 51 STATE"
"576","4052 = ZONE 52 STATE"
"577","4053 = ZONE 53 STATE"
"578","4054 = ZONE 54 STATE"
"579","4055 = ZONE 55 STATE"
"580","4056 = ZONE 56 STATE"
"581","4057 = ZONE 57 STATE"
"582","4058 = ZONE 58 STATE"
"583","4059 = ZONE 59 STATE"
"584","4060 = ZONE 60 STATE"
"585","4061 = ZONE 61 STATE"
"586","4062 = ZONE 62 STATE"
"587","4063 = ZONE 63 STATE"
"588","4064 = ZONE 64 STATE"
"589","4065 = ZONE 65 STATE"
"590","4066 = ZONE 66 STATE"
"591","4067 = ZONE 67 STATE"
"592","4068 = ZONE 68 STATE"
"593","4069 = ZONE 69 STATE"
"594","4070 = ZONE 70 STATE"
"595","4071 = ZONE 71 STATE"
"596","4072 = ZONE 72 STATE"
"597","4073 = ZONE 73 STATE"
"598","4074 = ZONE 74 STATE"
"599","4075 = ZONE 75 STATE"
"600","4076 = ZONE 76 STATE"
"601","4077 = ZONE 77 STATE"
"602","4078 = ZONE 78 STATE"
"603","4079 = ZONE 79 STATE"
"604","4080 = ZONE 80 STATE"
"605","4081 = ZONE 81 STATE"
"606","4082 = ZONE 82 STATE"
"607","4083 = ZONE 83 STATE"
"608","4084 = ZONE 84 STATE"
"609","4085 = ZONE 85 STATE"
"610","4086 = ZONE 86 STATE"
"611","4087 = ZONE 87 STATE"
"612","4088 = ZONE 88 STATE"
"613","4089 = ZONE 89 STATE"
"614","4090 = ZONE 90 STATE"
"615","4091 = ZONE 91 STATE"
"616","4092 = ZONE 92 STATE"
"617","4093 = ZONE 93 STATE"
"618","4094 = ZONE 94 STATE"
"619","4095 = ZONE 95 STATE"
"620","4096 = ZONE 96 STATE"
"621","4097 = ZONE 97 STATE"
"622","4098 = ZONE 98 STATE"
"623","4099 = ZONE 99 STATE"
"624","4100 = ZONE 100 STATE"
"625","4101 = ZONE 101 STATE"
"626","4102 = ZONE 102 STATE"
"627","4103 = ZONE 103 STATE"
"628","4104 = ZONE 104 STATE"
"629","4105 = ZONE 105 STATE"
"630","4106 = ZONE 106 STATE"
"631","4107 = ZONE 107 STATE"
"632","4108 = ZONE 108 STATE"
"633","4109 = ZONE 109 STATE"
"634","4110 = ZONE 110 STATE"
"635","4111 = ZONE 111 STATE"
"636","4112 = ZONE 112 STATE"
"637","4113 = ZONE 113 STATE"
"638","4114 = ZONE 114 STATE"
"639","4115 = ZONE 115 STATE"
"640","4116 = ZONE 116 STATE"
"641","4117 = ZONE 117 STATE"
"642","4118 = ZONE 118 STATE"
"643","4119 = ZONE 119 STATE"
"644","4120 = ZONE 120 STATE"
"645","4121 = ZONE 121 STATE"
"646","4122 = ZONE 122 STATE"
"647","4123 = ZONE 123 STATE"
"648","4124 = ZONE 124 STATE"
"649","4125 = ZONE 125 STATE"
"650","4126 = ZONE 126 STATE"
"651","4127 = ZONE 127 STATE"
"652","4128 = ZONE 128 STATE"
"653","4129 = ZONE 129 STATE"
"654","4130 = ZONE 130 STATE"
"655","4131 = ZONE 131 STATE"
"656","4132 = ZONE 132 STATE"
"657","4133 = ZONE 133 STATE"
"658","4134 = ZONE 134 STATE"
"659","4135 = ZONE 135 STATE"
"660","4136 = ZONE 136 STATE"
"661","4137 = ZONE 137 STATE"
"662","4138 = ZONE 138 STATE"
"663","4139 = ZONE 139 STATE"
"664","4140 = ZONE 140 STATE"
"665","4141 = ZONE 141 STATE"
"666","4142 = ZONE 142 STATE"
"667","4143 = ZONE 143 STATE"
"668","4144 = ZONE 144 STATE"
"669","4145 = ZONE 145 STATE"
"670","4146 = ZONE 146 STATE"
"671","4147 = ZONE 147 STATE"
"672","4148 = ZONE 148 STATE"
"673","4149 = ZONE 149 STATE"
"674","4150 = ZONE 150 STATE"
"675","4151 = ZONE 151 STATE"
"676","4152 = ZONE 152 STATE"
"677","4153 = ZONE 153 STATE"
"678","4154 = ZONE 154 STATE"
"679","4155 = ZONE 155 STATE"
"680","4156 = ZONE 156 STATE"
"681","4157 = ZONE 157 STATE"
"682","4158 = ZONE 158 STATE"
"683","4159 = ZONE 159 STATE"
"684","4160 = ZONE 160 STATE"
"685","4161 = ZONE 161 STATE"
"686","4162 = ZONE 162 STATE"
"687","4163 = ZONE 163 STATE"
"688","4164 = ZONE 164 STATE"
"689","4165 = ZONE 165 STATE"
"690","4166 = ZONE 166 STATE"
"691","4167 = ZONE 167 STATE"
"692","4168 = ZONE 168 STATE"
"693","4169 = ZONE 169 STATE"
"694","4170 = ZONE 170 STATE"
"695","4171 = ZONE 171 STATE"
"696","4172 = ZONE 172 STATE"
"697","4173 = ZONE 173 STATE"
"698","4174 = ZONE 174 STATE"
"699","4175 = ZONE 175 STATE"
"700","4176 = ZONE 176 STATE"
"701","4177 = ZONE 177 STATE"
"702","4178 = ZONE 178 STATE"
"703","4179 = ZONE 179 STATE"
"704","4180 = ZONE 180 STATE"
"705","4181 = ZONE 181 STATE"
"706","4182 = ZONE 182 STATE"
"707","4183 = ZONE 183 STATE"
"708","4184 = ZONE 184 STATE"
"709","4185 = ZONE 185 STATE"
"710","4186 = ZONE 186 STATE"
"711","4187 = ZONE 187 STATE"
"712","4188 = ZONE 188 STATE"
"713","4189 = ZONE 189 STATE"
"714","4190 = ZONE 190 STATE"
"715","4191 = ZONE 191 STATE"
"716","4192 = ZONE 192 STATE"
"717","4193 = ZONE 193 STATE"
"718","4194 = ZONE 194 STATE"
"719","4195 = ZONE 195 STATE"
"720","4196 = ZONE 196 STATE"
"721","4197 = ZONE 197 STATE"
"722","4198 = ZONE 198 STATE"
"723","4199 = ZONE 199 STATE"
"724","4200 = ZONE 200 STATE"
"725","4201 = ZONE 201 STATE"
"726","4202 = ZONE 202 STATE"
"727","4203 = ZONE 203 STATE"
"728","4204 = ZONE 204 STATE"
"729","4205 = ZONE 205 STATE"
"730","4206 = ZONE 206 STATE"
"731","4207 = ZONE 207 STATE"
"732","4208 = ZONE 208 STATE"
"733","5001 = ZONE 1 BYPASS STATE"
"734","5002 = ZONE 2 BYPASS STATE"
"735","5003 = ZONE 3 BYPASS STATE"
"736","5004 = ZONE 4 BYPASS STATE"
"737","5005 = ZONE 5 BYPASS STATE"
"738","5006 = ZONE 6 BYPASS STATE"
"739","5007 = ZONE 7 BYPASS STATE"
"740","5008 = ZONE 8 BYPASS STATE"
"741","5009 = ZONE 9 BYPASS STATE"
"742","5010 = ZONE 10 BYPASS STATE"
"743","5011 = ZONE 11 BYPASS STATE"
"744","5012 = ZONE 12 BYPASS STATE"
"745","5013 = ZONE 13 BYPASS STATE"
"746","5014 = ZONE 14 BYPASS STATE"
"747","5015 = ZONE 15 BYPASS STATE"
"748","5016 = ZONE 16 BYPASS STATE"
"749","5017 = ZONE 17 BYPASS STATE"
"750","5018 = ZONE 18 BYPASS STATE"
"751","5019 = ZONE 19 BYPASS STATE"
"752","5020 = ZONE 20 BYPASS STATE"
"753","5021 = ZONE 21 BYPASS STATE"
"754","5022 = ZONE 22 BYPASS STATE"
"755","5023 = ZONE 23 BYPASS STATE"
"756","5024 = ZONE 24 BYPASS STATE"
"757","5025 = ZONE 25 BYPASS STATE"
"758","5026 = ZONE 26 BYPASS STATE"
"759","5027 = ZONE 27 BYPASS STATE"
"760","5028 = ZONE 28 BYPASS STATE"
"761","5029 = ZONE 29 BYPASS STATE"
"762","5030 = ZONE 30 BYPASS STATE"
"763","5031 = ZONE 31 BYPASS STATE"
"764","5032 = ZONE 32 BYPASS STATE"
"765","5033 = ZONE 33 BYPASS STATE"
"766","5034 = ZONE 34 BYPASS STATE"
"767","5035 = ZONE 35 BYPASS STATE"
"768","5036 = ZONE 36 BYPASS STATE"
"769","5037 = ZONE 37 BYPASS STATE"
"770","5038 = ZONE 38 BYPASS STATE"
"771","5039 = ZONE 39 BYPASS STATE"
"772","5040 = ZONE 40 BYPASS STATE"
"773","5041 = ZONE 41 BYPASS STATE"
"774","5042 = ZONE 42 BYPASS STATE"
"775","5043 = ZONE 43 BYPASS STATE"
"776","5044 = ZONE 44 BYPASS STATE"
"777","5045 = ZONE 45 BYPASS STATE"
"778","5046 = ZONE 46 BYPASS STATE"
"779","5047 = ZONE 47 BYPASS STATE"
"780","5048 = ZONE 48 BYPASS STATE"
"781","5049 = ZONE 49 BYPASS STATE"
"782","5050 = ZONE 50 BYPASS STATE"
"783","5051 = ZONE 51 BYPASS STATE"
"784","5052 = ZONE 52 BYPASS STATE"
"785","5053 = ZONE 53 BYPASS STATE"
"786","5054 = ZONE 54 BYPASS STATE"
"787","5055 = ZONE 55 BYPASS STATE"
"788","5056 = ZONE 56 BYPASS STATE"
"789","5057 = ZONE 57 BYPASS STATE"
"790","5058 = ZONE 58 BYPASS STATE"
"791","5059 = ZONE 59 BYPASS STATE"
"792","5060 = ZONE 60 BYPASS STATE"
"793","5061 = ZONE 61 BYPASS STATE"
"794","5062 = ZONE 62 BYPASS STATE"
"795","5063 = ZONE 63 BYPASS STATE"
"796","5064 = ZONE 64 BYPASS STATE"
"797","5065 = ZONE 65 BYPASS STATE"
"798","5066 = ZONE 66 BYPASS STATE"
"799","5067 = ZONE 67 BYPASS STATE"
"800","5068 = ZONE 68 BYPASS STATE"
"801","5069 = ZONE 69 BYPASS STATE"
"802","5070 = ZONE 70 BYPASS STATE"
"803","5071 = ZONE 71 BYPASS STATE"
"804","5072 = ZONE 72 BYPASS STATE"
"805","5073 = ZONE 73 BYPASS STATE"
"806","5074 = ZONE 74 BYPASS STATE"
"807","5075 = ZONE 75 BYPASS STATE"
"808","5076 = ZONE 76 BYPASS STATE"
"809","5077 = ZONE 77 BYPASS STATE"
"810","5078 = ZONE 78 BYPASS STATE"
"811","5079 = ZONE 79 BYPASS STATE"
"812","5080 = ZONE 80 BYPASS STATE"
"813","5081 = ZONE 81 BYPASS STATE"
"814","5082 = ZONE 82 BYPASS STATE"
"815","5083 = ZONE 83 BYPASS STATE"
"816","5084 = ZONE 84 BYPASS STATE"
"817","5085 = ZONE 85 BYPASS STATE"
"818","5086 = ZONE 86 BYPASS STATE"
"819","5087 = ZONE 87 BYPASS STATE"
"820","5088 = ZONE 88 BYPASS STATE"
"821","5089 = ZONE 89 BYPASS STATE"
"822","5090 = ZONE 90 BYPASS STATE"
"823","5091 = ZONE 91 BYPASS STATE"
"824","5092 = ZONE 92 BYPASS STATE"
"825","5093 = ZONE 93 BYPASS STATE"
"826","5094 = ZONE 94 BYPASS STATE"
"827","5095 = ZONE 95 BYPASS STATE"
"828","5096 = ZONE 96 BYPASS STATE"
"829","5097 = ZONE 97 BYPASS STATE"
"830","5098 = ZONE 98 BYPASS STATE"
"831","5099 = ZONE 99 BYPASS STATE"
"832","5100 = ZONE 100 BYPASS STATE"
"833","5101 = ZONE 101 BYPASS STATE"
"834","5102 = ZONE 102 BYPASS STATE"
"835","5103 = ZONE 103 BYPASS STATE"
"836","5104 = ZONE 104 BYPASS STATE"
"837","5105 = ZONE 105 BYPASS STATE"
"838","5106 = ZONE 106 BYPASS STATE"
"839","5107 = ZONE 107 BYPASS STATE"
"840","5108 = ZONE 108 BYPASS STATE"
"841","5109 = ZONE 109 BYPASS STATE"
"842","5110 = ZONE 110 BYPASS STATE"
"843","5111 = ZONE 111 BYPASS STATE"
"844","5112 = ZONE 112 BYPASS STATE"
"845","5113 = ZONE 113 BYPASS STATE"
"846","5114 = ZONE 114 BYPASS STATE"
"847","5115 = ZONE 115 BYPASS STATE"
"848","5116 = ZONE 116 BYPASS STATE"
"849","5117 = ZONE 117 BYPASS STATE"
"850","5118 = ZONE 118 BYPASS STATE"
"851","5119 = ZONE 119 BYPASS STATE"
"852","5120 = ZONE 120 BYPASS STATE"
"853","5121 = ZONE 121 BYPASS STATE"
"854","5122 = ZONE 122 BYPASS STATE"
"855","5123 = ZONE 123 BYPASS STATE"
"856","5124 = ZONE 124 BYPASS STATE"
"857","5125 = ZONE 125 BYPASS STATE"
"858","5126 = ZONE 126 BYPASS STATE"
"859","5127 = ZONE 127 BYPASS STATE"
"860","5128 = ZONE 128 BYPASS STATE"
"861","5129 = ZONE 129 BYPASS STATE"
"862","5130 = ZONE 130 BYPASS STATE"
"863","5131 = ZONE 131 BYPASS STATE"
"864","5132 = ZONE 132 BYPASS STATE"
"865","5133 = ZONE 133 BYPASS STATE"
"866","5134 = ZONE 134 BYPASS STATE"
"867","5135 = ZONE 135 BYPASS STATE"
"868","5136 = ZONE 136 BYPASS STATE"
"869","5137 = ZONE 137 BYPASS STATE"
"870","5138 = ZONE 138 BYPASS STATE"
"871","5139 = ZONE 139 BYPASS STATE"
"872","5140 = ZONE 140 BYPASS STATE"
"873","5141 = ZONE 141 BYPASS STATE"
"874","5142 = ZONE 142 BYPASS STATE"
"875","5143 = ZONE 143 BYPASS STATE"
"876","5144 = ZONE 144 BYPASS STATE"
"877","5145 = ZONE 145 BYPASS STATE"
"878","5146 = ZONE 146 BYPASS STATE"
"879","5147 = ZONE 147 BYPASS STATE"
"880","5148 = ZONE 148 BYPASS STATE"
"881","5149 = ZONE 149 BYPASS STATE"
"882","5150 = ZONE 150 BYPASS STATE"
"883","5151 = ZONE 151 BYPASS STATE"
"884","5152 = ZONE 152 BYPASS STATE"
"885","5153 = ZONE 153 BYPASS STATE"
"886","5154 = ZONE 154 BYPASS STATE"
"887","5155 = ZONE 155 BYPASS STATE"
"888","5156 = ZONE 156 BYPASS STATE"
"889","5157 = ZONE 157 BYPASS STATE"
"890","5158 = ZONE 158 BYPASS STATE"
"891","5159 = ZONE 159 BYPASS STATE"
"892","5160 = ZONE 160 BYPASS STATE"
"893","5161 = ZONE 161 BYPASS STATE"
"894","5162 = ZONE 162 BYPASS STATE"
"895","5163 = ZONE 163 BYPASS STATE"
"896","5164 = ZONE 164 BYPASS STATE"
"897","5165 = ZONE 165 BYPASS STATE"
"898","5166 = ZONE 166 BYPASS STATE"
"899","5167 = ZONE 167 BYPASS STATE"
"900","5168 = ZONE 168 BYPASS STATE"
"901","5169 = ZONE 169 BYPASS STATE"
"902","5170 = ZONE 170 BYPASS STATE"
"903","5171 = ZONE 171 BYPASS STATE"
"904","5172 = ZONE 172 BYPASS STATE"
"905","5173 = ZONE 173 BYPASS STATE"
"906","5174 = ZONE 174 BYPASS STATE"
"907","5175 = ZONE 175 BYPASS STATE"
"908","5176 = ZONE 176 BYPASS STATE"
"909","5177 = ZONE 177 BYPASS STATE"
"910","5178 = ZONE 178 BYPASS STATE"
"911","5179 = ZONE 179 BYPASS STATE"
"912","5180 = ZONE 180 BYPASS STATE"
"913","5181 = ZONE 181 BYPASS STATE"
"914","5182 = ZONE 182 BYPASS STATE"
"915","5183 = ZONE 183 BYPASS STATE"
"916","5184 = ZONE 184 BYPASS STATE"
"917","5185 = ZONE 185 BYPASS STATE"
"918","5186 = ZONE 186 BYPASS STATE"
"919","5187 = ZONE 187 BYPASS STATE"
"920","5188 = ZONE 188 BYPASS STATE"
"921","5189 = ZONE 189 BYPASS STATE"
"922","5190 = ZONE 190 BYPASS STATE"
"923","5191 = ZONE 191 BYPASS STATE"
"924","5192 = ZONE 192 BYPASS STATE"
"925","5193 = ZONE 193 BYPASS STATE"
"926","5194 = ZONE 194 BYPASS STATE"
"927","5195 = ZONE 195 BYPASS STATE"
"928","5196 = ZONE 196 BYPASS STATE"
"929","5197 = ZONE 197 BYPASS STATE"
"930","5198 = ZONE 198 BYPASS STATE"
"931","5199 = ZONE 199 BYPASS STATE"
"932","5200 = ZONE 200 BYPASS STATE"
"933","5201 = ZONE 201 BYPASS STATE"
"934","5202 = ZONE 202 BYPASS STATE"
"935","5203 = ZONE 203 BYPASS STATE"
"936","5204 = ZONE 204 BYPASS STATE"
"937","5205 = ZONE 205 BYPASS STATE"
"938","5206 = ZONE 206 BYPASS STATE"
"939","5207 = ZONE 207 BYPASS STATE"
"940","5208 = ZONE 208 BYPASS STATE"
"941","6001 = ZONE 1 ALARM MEMORY"
"942","6002 = ZONE 2 ALARM MEMORY"
"943","6003 = ZONE 3 ALARM MEMORY"
"944","6004 = ZONE 4 ALARM MEMORY"
"945","6005 = ZONE 5 ALARM MEMORY"
"946","6006 = ZONE 6 ALARM MEMORY"
"947","6007 = ZONE 7 ALARM MEMORY"
"948","6008 = ZONE 8 ALARM MEMORY"
"949","6009 = ZONE 9 ALARM MEMORY"
"950","6010 = ZONE 10 ALARM MEMORY"
"951","6011 = ZONE 11 ALARM MEMORY"
"952","6012 = ZONE 12 ALARM MEMORY"
"953","6013 = ZONE 13 ALARM MEMORY"
"954","6014 = ZONE 14 ALARM MEMORY"
"955","6015 = ZONE 15 ALARM MEMORY"
"956","6016 = ZONE 16 ALARM MEMORY"
"957","6017 = ZONE 17 ALARM MEMORY"
"958","6018 = ZONE 18 ALARM MEMORY"
"959","6019 = ZONE 19 ALARM MEMORY"
"960","6020 = ZONE 20 ALARM MEMORY"
"961","6021 = ZONE 21 ALARM MEMORY"
"962","6022 = ZONE 22 ALARM MEMORY"
"963","6023 = ZONE 23 ALARM MEMORY"
"964","6024 = ZONE 24 ALARM MEMORY"
"965","6025 = ZONE 25 ALARM MEMORY"
"966","6026 = ZONE 26 ALARM MEMORY"
"967","6027 = ZONE 27 ALARM MEMORY"
"968","6028 = ZONE 28 ALARM MEMORY"
"969","6029 = ZONE 29 ALARM MEMORY"
"970","6030 = ZONE 30 ALARM MEMORY"
"971","6031 = ZONE 31 ALARM MEMORY"
"972","6032 = ZONE 32 ALARM MEMORY"
"973","6033 = ZONE 33 ALARM MEMORY"
"974","6034 = ZONE 34 ALARM MEMORY"
"975","6035 = ZONE 35 ALARM MEMORY"
"976","6036 = ZONE 36 ALARM MEMORY"
"977","6037 = ZONE 37 ALARM MEMORY"
"978","6038 = ZONE 38 ALARM MEMORY"
"979","6039 = ZONE 39 ALARM MEMORY"
"980","6040 = ZONE 40 ALARM MEMORY"
"981","6041 = ZONE 41 ALARM MEMORY"
"982","6042 = ZONE 42 ALARM MEMORY"
"983","6043 = ZONE 43 ALARM MEMORY"
"984","6044 = ZONE 44 ALARM MEMORY"
"985","6045 = ZONE 45 ALARM MEMORY"
"986","6046 = ZONE 46 ALARM MEMORY"
"987","6047 = ZONE 47 ALARM MEMORY"
"988","6048 = ZONE 48 ALARM MEMORY"
"989","6049 = ZONE 49 ALARM MEMORY"
"990","6050 = ZONE 50 ALARM MEMORY"
"991","6051 = ZONE 51 ALARM MEMORY"
"992","6052 = ZONE 52 ALARM MEMORY"
"993","6053 = ZONE 53 ALARM MEMORY"
"994","6054 = ZONE 54 ALARM MEMORY"
"995","6055 = ZONE 55 ALARM MEMORY"
"996","6056 = ZONE 56 ALARM MEMORY"
"997","6057 = ZONE 57 ALARM MEMORY"
"998","6058 = ZONE 58 ALARM MEMORY"
"999","6059 = ZONE 59 ALARM MEMORY"
"1000","6060 = ZONE 60 ALARM MEMORY"
"1001","6061 = ZONE 61 ALARM MEMORY"
"1002","6062 = ZONE 62 ALARM MEMORY"
"1003","6063 = ZONE 63 ALARM MEMORY"
"1004","6064 = ZONE 64 ALARM MEMORY"
"1005","6065 = ZONE 65 ALARM MEMORY"
"1006","6066 = ZONE 66 ALARM MEMORY"
"1007","6067 = ZONE 67 ALARM MEMORY"
"1008","6068 = ZONE 68 ALARM MEMORY"
"1009","6069 = ZONE 69 ALARM MEMORY"
"1010","6070 = ZONE 70 ALARM MEMORY"
"1011","6071 = ZONE 71 ALARM MEMORY"
"1012","6072 = ZONE 72 ALARM MEMORY"
"1013","6073 = ZONE 73 ALARM MEMORY"
"1014","6074 = ZONE 74 ALARM MEMORY"
"1015","6075 = ZONE 75 ALARM MEMORY"
"1016","6076 = ZONE 76 ALARM MEMORY"
"1017","6077 = ZONE 77 ALARM MEMORY"
"1018","6078 = ZONE 78 ALARM MEMORY"
"1019","6079 = ZONE 79 ALARM MEMORY"
"1020","6080 = ZONE 80 ALARM MEMORY"
"1021","6081 = ZONE 81 ALARM MEMORY"
"1022","6082 = ZONE 82 ALARM MEMORY"
"1023","6083 = ZONE 83 ALARM MEMORY"
"1024","6084 = ZONE 84 ALARM MEMORY"
"1025","6085 = ZONE 85 ALARM MEMORY"
"1026","6086 = ZONE 86 ALARM MEMORY"
"1027","6087 = ZONE 87 ALARM MEMORY"
"1028","6088 = ZONE 88 ALARM MEMORY"
"1029","6089 = ZONE 89 ALARM MEMORY"
"1030","6090 = ZONE 90 ALARM MEMORY"
"1031","6091 = ZONE 91 ALARM MEMORY"
"1032","6092 = ZONE 92 ALARM MEMORY"
"1033","6093 = ZONE 93 ALARM MEMORY"
"1034","6094 = ZONE 94 ALARM MEMORY"
"1035","6095 = ZONE 95 ALARM MEMORY"
"1036","6096 = ZONE 96 ALARM MEMORY"
"1037","6097 = ZONE 97 ALARM MEMORY"
"1038","6098 = ZONE 98 ALARM MEMORY"
"1039","6099 = ZONE 99 ALARM MEMORY"
"1040","6100 = ZONE 100 ALARM MEMORY"
"1041","6101 = ZONE 101 ALARM MEMORY"
"1042","6102 = ZONE 102 ALARM MEMORY"
"1043","6103 = ZONE 103 ALARM MEMORY"
"1044","6104 = ZONE 104 ALARM MEMORY"
"1045","6105 = ZONE 105 ALARM MEMORY"
"1046","6106 = ZONE 106 ALARM MEMORY"
"1047","6107 = ZONE 107 ALARM MEMORY"
"1048","6108 = ZONE 108 ALARM MEMORY"
"1049","6109 = ZONE 109 ALARM MEMORY"
"1050","6110 = ZONE 110 ALARM MEMORY"
"1051","6111 = ZONE 111 ALARM MEMORY"
"1052","6112 = ZONE 112 ALARM MEMORY"
"1053","6113 = ZONE 113 ALARM MEMORY"
"1054","6114 = ZONE 114 ALARM MEMORY"
"1055","6115 = ZONE 115 ALARM MEMORY"
"1056","6116 = ZONE 116 ALARM MEMORY"
"1057","6117 = ZONE 117 ALARM MEMORY"
"1058","6118 = ZONE 118 ALARM MEMORY"
"1059","6119 = ZONE 119 ALARM MEMORY"
"1060","6120 = ZONE 120 ALARM MEMORY"
"1061","6121 = ZONE 121 ALARM MEMORY"
"1062","6122 = ZONE 122 ALARM MEMORY"
"1063","6123 = ZONE 123 ALARM MEMORY"
"1064","6124 = ZONE 124 ALARM MEMORY"
"1065","6125 = ZONE 125 ALARM MEMORY"
"1066","6126 = ZONE 126 ALARM MEMORY"
"1067","6127 = ZONE 127 ALARM MEMORY"
"1068","6128 = ZONE 128 ALARM MEMORY"
"1069","6129 = ZONE 129 ALARM MEMORY"
"1070","6130 = ZONE 130 ALARM MEMORY"
"1071","6131 = ZONE 131 ALARM MEMORY"
"1072","6132 = ZONE 132 ALARM MEMORY"
"1073","6133 = ZONE 133 ALARM MEMORY"
"1074","6134 = ZONE 134 ALARM MEMORY"
"1075","6135 = ZONE 135 ALARM MEMORY"
"1076","6136 = ZONE 136 ALARM MEMORY"
"1077","6137 = ZONE 137 ALARM MEMORY"
"1078","6138 = ZONE 138 ALARM MEMORY"
"1079","6139 = ZONE 139 ALARM MEMORY"
"1080","6140 = ZONE 140 ALARM MEMORY"
"1081","6141 = ZONE 141 ALARM MEMORY"
"1082","6142 = ZONE 142 ALARM MEMORY"
"1083","6143 = ZONE 143 ALARM MEMORY"
"1084","6144 = ZONE 144 ALARM MEMORY"
"1085","6145 = ZONE 145 ALARM MEMORY"
"1086","6146 = ZONE 146 ALARM MEMORY"
"1087","6147 = ZONE 147 ALARM MEMORY"
"1088","6148 = ZONE 148 ALARM MEMORY"
"1089","6149 = ZONE 149 ALARM MEMORY"
"1090","6150 = ZONE 150 ALARM MEMORY"
"1091","6151 = ZONE 151 ALARM MEMORY"
"1092","6152 = ZONE 152 ALARM MEMORY"
"1093","6153 = ZONE 153 ALARM MEMORY"
"1094","6154 = ZONE 154 ALARM MEMORY"
"1095","6155 = ZONE 155 ALARM MEMORY"
"1096","6156 = ZONE 156 ALARM MEMORY"
"1097","6157 = ZONE 157 ALARM MEMORY"
"1098","6158 = ZONE 158 ALARM MEMORY"
"1099","6159 = ZONE 159 ALARM MEMORY"
"1100","6160 = ZONE 160 ALARM MEMORY"
"1101","6161 = ZONE 161 ALARM MEMORY"
"1102","6162 = ZONE 162 ALARM MEMORY"
"1103","6163 = ZONE 163 ALARM MEMORY"
"1104","6164 = ZONE 164 ALARM MEMORY"
"1105","6165 = ZONE 165 ALARM MEMORY"
"1106","6166 = ZONE 166 ALARM MEMORY"
"1107","6167 = ZONE 167 ALARM MEMORY"
"1108","6168 = ZONE 168 ALARM MEMORY"
"1109","6169 = ZONE 169 ALARM MEMORY"
"1110","6170 = ZONE 170 ALARM MEMORY"
"1111","6171 = ZONE 171 ALARM MEMORY"
"1112","6172 = ZONE 172 ALARM MEMORY"
"1113","6173 = ZONE 173 ALARM MEMORY"
"1114","6174 = ZONE 174 ALARM MEMORY"
"1115","6175 = ZONE 175 ALARM MEMORY"
"1116","6176 = ZONE 176 ALARM MEMORY"
"1117","6177 = ZONE 177 ALARM MEMORY"
"1118","6178 = ZONE 178 ALARM MEMORY"
"1119","6179 = ZONE 179 ALARM MEMORY"
"1120","6180 = ZONE 180 ALARM MEMORY"
"1121","6181 = ZONE 181 ALARM MEMORY"
"1122","6182 = ZONE 182 ALARM MEMORY"
"1123","6183 = ZONE 183 ALARM MEMORY"
"1124","6184 = ZONE 184 ALARM MEMORY"
"1125","6185 = ZONE 185 ALARM MEMORY"
"1126","6186 = ZONE 186 ALARM MEMORY"
"1127","6187 = ZONE 187 ALARM MEMORY"
"1128","6188 = ZONE 188 ALARM MEMORY"
"1129","6189 = ZONE 189 ALARM MEMORY"
"1130","6190 = ZONE 190 ALARM MEMORY"
"1131","6191 = ZONE 191 ALARM MEMORY"
"1132","6192 = ZONE 192 ALARM MEMORY"
"1133","6193 = ZONE 193 ALARM MEMORY"
"1134","6194 = ZONE 194 ALARM MEMORY"
"1135","6195 = ZONE 195 ALARM MEMORY"
"1136","6196 = ZONE 196 ALARM MEMORY"
"1137","6197 = ZONE 197 ALARM MEMORY"
"1138","6198 = ZONE 198 ALARM MEMORY"
"1139","6199 = ZONE 199 ALARM MEMORY"
"1140","6200 = ZONE 200 ALARM MEMORY"
"1141","6201 = ZONE 201 ALARM MEMORY"
"1142","6202 = ZONE 202 ALARM MEMORY"
"1143","6203 = ZONE 203 ALARM MEMORY"
"1144","6204 = ZONE 204 ALARM MEMORY"
"1145","6205 = ZONE 205 ALARM MEMORY"
"1146","6206 = ZONE 206 ALARM MEMORY"
"1147","6207 = ZONE 207 ALARM MEMORY"
"1148","6208 = ZONE 208 ALARM MEMORY"
"1149","7001 = OUTPUT 1 STATE"
"1150","7002 = OUTPUT 2 STATE"
"1151","7003 = OUTPUT 3 STATE"
"1152","7004 = OUTPUT 4 STATE"
"1153","7005 = OUTPUT 5 STATE"
"1154","7006 = OUTPUT 6 STATE"
"1155","7007 = OUTPUT 7 STATE"
